ticker,date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin
VRTX,2020-03-31,3593412000.0,596984000.0,4190396000.0,845269000.0,187087000.0,5446400000.0,736303000.0,1402158000.0,0.0,1147705000.0,3446801000.0,8893201000.0,100703000.0,179776000.0,1538750000.0,532952000.0,712728000.0,0.0,0.0,0.0,714697000.0,2431547000.0,7695905000.0,-1250225000.0,6461654000.0,596984000.0,-2880684000.0,0.0,178100000.0,26821000.0,115706000.0,815698000.0,19450000.0,0.0,-248910000.0,31666000.0,0.0,-300026000.0,0.0,-359430000.0,-6651000.0,481283000.0,796248000.0,0.0,1515107000.0,0.072061503,162497000.0,1352610000.0,448528000.0,182258000.0,616650000.0,720224000.0,0.0,657534000.0,54800000.0,0.0,0.0,602753000.0,0.0,602753000.0,2.32,2.29,259815000.0,263515000.0,0.0,0.8927488290000001,0.493064186,0.475361806,0.397828668,0.52553912,747045000.0,720224000.0,602753000.0,0.43398519,0.397828668
VRSN,2020-03-31,498693000.0,639939000.0,1138632000.0,0.0,0.0,1185495000.0,247764000.0,0.0,0.0,84388000.0,568366000.0,1753861000.0,180015000.0,0.0,955672000.0,1788194000.0,1788194000.0,775657000.0,0.0,0.0,2207303000.0,3162975000.0,14734618000.0,-16143374000.0,-1409114000.0,639939000.0,1289501000.0,0.0,0.0,14235000.0,11441000.0,180060000.0,11013000.0,0.0,-1006130000.0,79084000.0,0.0,-275623000.0,0.0,-267327000.0,-1316000.0,-9499000.0,169047000.0,0.0,312524000.0,0.006379149000000001,45573000.0,266951000.0,17358000.0,43329000.0,60687000.0,206264000.0,22535000.0,190813000.0,-143303000.0,0.0,0.0,334116000.0,0.0,334116000.0,2.86,2.86,116375000.0,116730000.0,0.0,0.854177599,0.7055426140000001,0.659994112,1.069089094,0.540908858,220499000.0,206264000.0,334116000.0,0.610554709,1.069089094
VRSK,2020-03-31,204400000.0,0.0,204400000.0,523300000.0,0.0,814000000.0,549300000.0,5049200000.0,0.0,9100000.0,6114100000.0,6928100000.0,315600000.0,38700000.0,1597900000.0,2652400000.0,2691100000.0,668400000.0,21700000.0,0.0,3051100000.0,4847600000.0,0.0,4353400000.0,2080500000.0,0.0,2486700000.0,0.0,198600000.0,87400000.0,19600000.0,362600000.0,52900000.0,0.0,-173800000.0,-87500000.0,-75000000.0,-173800000.0,-43900000.0,-255400000.0,-200000.0,19500000.0,309700000.0,0.0,689800000.0,0.019208038,257700000.0,432100000.0,0.0,112100000.0,112100000.0,252300000.0,33500000.0,216700000.0,45000000.0,0.0,0.0,171700000.0,0.0,171700000.0,1.04,1.04,162894306.0,165724120.0,0.264898073,0.626413453,0.492461583,0.365758191,0.248912728,0.448970716,339700000.0,252300000.0,171700000.0,0.31414902899999997,0.248912728
UAL,2020-03-31,3442000000.0,1779000000.0,5221000000.0,0.0,1070000000.0,7905000000.0,4853000000.0,7468000000.0,149000000.0,0.0,45150000000.0,53055000000.0,2436000000.0,4055000000.0,16087000000.0,13198000000.0,17253000000.0,0.0,0.0,0.0,15699000000.0,43637000000.0,2195000000.0,7991000000.0,9418000000.0,1928000000.0,13811000000.0,0.0,11851000000.0,,,,,,,,,,,,,,,,7979000000.0,-0.26717487100000004,0.0,7979000000.0,0.0,2955000000.0,4703000000.0,-972000000.0,0.0,-2114000000.0,-410000000.0,0.0,0.0,-1700000000.0,0.0,-1700000000.0,-6.86,-6.86,248500000.0,248500000.0,1.4205231390000002,1.0,-0.12181977699999999,-0.12181977699999999,-0.21305928100000002,-0.237623762,-972000000.0,-972000000.0,-1700000000.0,-0.264945482,-0.21305928100000002
TXN,2020-03-31,2518000000.0,2224000000.0,4742000000.0,1316000000.0,2003000000.0,8310000000.0,3233000000.0,4650000000.0,34000000.0,208000000.0,8973000000.0,17283000000.0,363000000.0,1051000000.0,2381000000.0,5499000000.0,6550000000.0,0.0,62000000.0,0.0,7073000000.0,9549000000.0,0.0,40227000000.0,7734000000.0,2258000000.0,4032000000.0,0.0,95000000.0,250000000.0,63000000.0,851000000.0,161000000.0,0.0,-1641000000.0,826000000.0,0.0,-1641000000.0,-841000000.0,-1596000000.0,0.0,81000000.0,690000000.0,0.0,3329000000.0,-0.0062686569999999995,1241000000.0,2088000000.0,377000000.0,417000000.0,794000000.0,1244000000.0,45000000.0,1224000000.0,50000000.0,0.0,0.0,1174000000.0,0.0,1174000000.0,1.25,1.24,931000000.0,943000000.0,0.891834571,0.62721538,0.448783418,0.373685792,0.352658456,0.20726945,1494000000.0,1244000000.0,1174000000.0,0.36767798100000004,0.352658456
TSLA,2020-03-31,8080000000.0,0.0,8080000000.0,1274000000.0,4494000000.0,14893000000.0,10638000000.0,516000000.0,0.0,0.0,22357000000.0,37250000000.0,3970000000.0,1199000000.0,11986000000.0,0.0,1199000000.0,1186000000.0,0.0,788000000.0,5065000000.0,28077000000.0,15390000000.0,-6104000000.0,9173000000.0,0.0,-6881000000.0,0.0,11026000000.0,599000000.0,211000000.0,-440000000.0,455000000.0,0.0,0.0,-480000000.0,-2221000000.0,-5771000000.0,0.0,2708000000.0,-24000000.0,1764000000.0,-895000000.0,0.0,5985000000.0,-0.189463705,4751000000.0,1234000000.0,324000000.0,627000000.0,951000000.0,283000000.0,169000000.0,70000000.0,2000000.0,0.0,0.0,16000000.0,0.0,16000000.0,0.09,0.08,183000000.0,199000000.0,0.0,0.206182122,0.147368421,0.047284879,0.00267335,-0.149540518,882000000.0,283000000.0,16000000.0,0.011695906,0.00267335
TMUS,2020-03-31,1112000000.0,2432000000.0,1112000000.0,1836000000.0,1225000000.0,9487000000.0,22149000000.0,2021000000.0,1367000000.0,0.0,77739000000.0,87226000000.0,6003000000.0,2187000000.0,14756000000.0,10959000000.0,13146000000.0,619000000.0,0.0,0.0,43493000000.0,58249000000.0,38626000000.0,-7949000000.0,28977000000.0,3799000000.0,12034000000.0,0.0,0.0,-6616000000.0,-495000000.0,-6824000000.0,-7358000000.0,31000000.0,0.0,5237000000.0,600000000.0,-1112000000.0,0.0,2374000000.0,0.0,787000000.0,534000000.0,0.0,-22673000000.0,1.170288121,-6622000000.0,-16051000000.0,0.0,-14139000000.0,-14139000000.0,-5722000000.0,34000000.0,-4603000000.0,-1135000000.0,0.0,0.0,-3468000000.0,0.0,-3468000000.0,-4.06,-4.02,0.0,0.0,0.0,0.707934548,0.544171481,0.252370661,0.15295726199999998,0.019097605,-12338000000.0,-5722000000.0,-3468000000.0,0.203016804,0.15295726199999998
SIRI,2020-03-31,40000000.0,0.0,40000000.0,604000000.0,12000000.0,883000000.0,1609000000.0,7272000000.0,0.0,89000000.0,10052000000.0,10935000000.0,3000000.0,2000000.0,3102000000.0,7847000000.0,7849000000.0,1923000000.0,0.0,0.0,8136000000.0,11682000000.0,116000000.0,-850000000.0,-747000000.0,0.0,7809000000.0,0.0,444000000.0,136000000.0,55000000.0,416000000.0,62000000.0,0.0,-249000000.0,-145000000.0,-2000000.0,-243000000.0,-59000000.0,-339000000.0,0.0,40000000.0,354000000.0,0.0,1952000000.0,-0.053346265999999996,839000000.0,1113000000.0,71000000.0,332000000.0,403000000.0,468000000.0,99000000.0,373000000.0,80000000.0,0.0,0.0,293000000.0,0.0,293000000.0,0.07,0.07,4405000000.0,4515000000.0,0.013067553,0.570184426,0.30942623,0.239754098,0.150102459,0.181352459,604000000.0,468000000.0,293000000.0,0.19108606600000003,0.150102459
SGEN,2020-03-31,249116000.0,549971000.0,799087000.0,224613000.0,84740000.0,1160447000.0,174693000.0,574671000.0,507000.0,0.0,931016000.0,2091463000.0,70374000.0,0.0,257219000.0,65147000.0,65147000.0,0.0,0.0,0.0,68626000.0,325845000.0,3413607000.0,-1651640000.0,1765618000.0,550478000.0,-183969000.0,0.0,0.0,9004000.0,33617000.0,-69059000.0,25256000.0,0.0,47074000.0,21818000.0,0.0,-249116000.0,0.0,21786000.0,9000.0,-25446000.0,-94315000.0,0.0,234514000.0,-0.190784116,0.0,234514000.0,195199000.0,122249000.0,317448000.0,-112355000.0,0.0,-168402000.0,0.0,0.0,0.0,-168402000.0,0.0,-168402000.0,-0.98,-0.98,172350000.0,172350000.0,0.0,1.0,-0.44070290000000006,-0.47909719700000003,-0.718089325,-0.402172152,-103351000.0,-112355000.0,-168402000.0,0.0,-0.718089325
REGN,2020-03-31,2208200000.0,1795200000.0,4003400000.0,2063100000.0,1480900000.0,8644100000.0,2944600000.0,0.0,3236400000.0,771200000.0,7113400000.0,15757500000.0,347800000.0,85000000.0,2055200000.0,715200000.0,800200000.0,398000000.0,0.0,0.0,1069100000.0,3624500000.0,4137600000.0,8004400000.0,12133000000.0,5031600000.0,-1408000000.0,0.0,500200000.0,56100000.0,105800000.0,698000000.0,170100000.0,0.0,-593800000.0,-443200000.0,0.0,490700000.0,0.0,335600000.0,0.0,590400000.0,527900000.0,0.0,1828200000.0,-0.157317354,78800000.0,1749400000.0,583900000.0,367300000.0,991600000.0,700100000.0,6100000.0,668600000.0,44000000.0,0.0,0.0,624600000.0,0.0,624600000.0,5.69,5.43,109800000.0,115100000.0,0.0,0.956897495,0.41363089399999997,0.38294497299999997,0.34164752200000004,0.28875396600000003,756200000.0,700100000.0,624600000.0,0.36571491100000003,0.34164752200000004
