,ticker,price,beta,volAvg,mktCap,lastDiv,range,changes,changesPercentage,companyName,exchange,industry,website,description,ceo,sector,image
0,AAPL,315.01,1.228499,51487874,1.37E+12,3.08,170.27-327.85,4.88,(+1.57%),Apple Inc.,Nasdaq Global Select,Computer Hardware,http://www.apple.com,"Apple Inc is designs, manufactures and markets mobile communication and media devices and personal computers, and sells a variety of related software, services, accessories, networking solutions and third-party digital content and applications.",Timothy D. Cook,Technology,https://financialmodelingprep.com/images-New-jpg/AAPL.jpg
1,MSFT,186.74,1.231028,55771582,1.42E+12,1.94,119.01-190.7,2.06,(+1.12%),Microsoft Corporation,Nasdaq Global Select,Application Software,http://www.microsoft.com,"Microsoft Corp is a technology company. It develop, license, and support a wide range of software products and services. Its business is organized into three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing.",Satya Nadella,Technology,https://financialmodelingprep.com/images-New-jpg/MSFT.jpg
2,AMZN,2409,1.516863,6083650,1.20E+12,0,1626.03-2475.0,29.39,(+1.24%),Amazon.com Inc.,Nasdaq Global Select,Online Media,http://www.amazon.com,"Amazon.com Inc is an online retailer. The Company sells its products through the website which provides services, such as advertising services and co-branded credit card agreements. It also offers electronic devices like Kindle e-readers and Fire tablets.",Jeffrey P. Bezos,Technology,https://financialmodelingprep.com/images-New-jpg/AMZN.jpg
3,FB,213.18,1.062394,24747940,6.07E+11,0,137.1-224.2,0.83,(+0.39%),Facebook Inc.,Nasdaq Global Select,Online Media,http://www.facebook.com,"Facebook Inc is the world's largest online social network. Its products are Facebook, Instagram, Messenger, WhatsApp, and Oculus. Its products enable people to connect and share through mobile devices and personal computers.",Mark Zuckerberg,Technology,https://financialmodelingprep.com/images-New-jpg/FB.jpg
4,GOOGL,1403.59,1.022765,2766269,9.58E+11,0,1008.87-1530.74,19.25,(+1.39%),Alphabet Inc.,Nasdaq Global Select,Online Media,https://www.abc.xyz,"Alphabet Inc is a provider of internet content products and portals. Its suite of brands includes Search, Android, YouTube, Apps, Maps & Ads.",Larry Page,Technology,https://financialmodelingprep.com/images-New-jpg/GOOGL.jpg
5,GOOG,1403.26,1.022765,2433520,9.58E+11,0,1013.536-1532.106,14.89,(+1.07%),Alphabet Inc.,Nasdaq Global Select,Online Media,https://www.abc.xyz,"Alphabet Inc is a provider of internet content products and portals. Its suite of brands includes Search, Android, YouTube, Apps, Maps & Ads.",Larry Page,Technology,https://financialmodelingprep.com/images-New-jpg/GOOG.jpg
6,INTC,60.13,0.90978,32458927,2.55E+11,1.29,42.86-69.29,0.46,(+0.77%),Intel Corporation,Nasdaq Global Select,Semiconductors,http://www.intel.com,"Intel Corp is the world's largest chipmaker. It engaged in making a semiconductor chip. It designs and manufactures integrated digital technology products like integrated circuits, for industries such as computing and communications.",Brian M. Krzanich,Technology,https://financialmodelingprep.com/images-New-jpg/INTC.jpg
7,NFLX,440.52,1.301854,8835290,1.94E+11,0,252.28-449.52,4.97,(+1.14%),Netflix Inc.,Nasdaq Global Select,Communication Services,http://www.netflix.com,"Netflix Inc provides multimedia content through the internet. It provides a subscription based platform for television shows, movies and original series.",Reed Hastings,Communication Services,https://financialmodelingprep.com/images-New-jpg/NFLX.jpg
8,PEP,134.38,0.537942,7012533,1.87E+11,3.84,101.42-147.2,0.15,(+0.11%),PepsiCo Inc.,Nasdaq Global Select,Beverages - Non-Alcoholic,http://www.pepsico.com,"PepsiCo Inc is a food, snack and beverage company. It manufactures, markets, distributes and sells convenient and enjoyable beverages, foods and snacks, serving customers and consumers in more than 200 countries and territories.",Indra K. Nooyi,Consumer Defensive,https://financialmodelingprep.com/images-New-jpg/PEP.jpg
9,CSCO,43.32,1.204047,33287317,1.84E+11,1.41,32.4-58.26,0.33,(+0.77%),Cisco Systems Inc.,Nasdaq Global Select,Communication Equipment,http://www.cisco.com,"Cisco Systems Inc is a supplier of data networking equipment and software. Its products include routers, switches, access equipment, and security and network management software which allow data communication among dispersed computer networks.",Charles Robbins,Technology,https://financialmodelingprep.com/images-New-jpg/CSCO.jpg
