,ticker,scoretype,date,score
0,AAPL,1,2020-03-28,1
1,AAPL,1,2019-12-28,1
2,AAPL,1,2019-09-28,1
3,AAPL,1,2019-06-29,1
4,AAPL,1,2019-03-30,1
5,AAPL,1,2018-12-29,1
6,AAPL,1,2018-09-29,1
7,AAPL,1,2018-06-30,1
8,AAPL,1,2018-03-31,1
9,AAPL,1,2017-12-30,1
10,AAPL,1,2017-09-30,1
11,AAPL,1,2017-07-01,1
12,AAPL,1,2017-04-01,1
13,AAPL,1,2016-12-31,1
14,AAPL,1,2016-09-24,1
15,AAPL,1,2016-06-25,1
16,AAPL,1,2016-03-26,1
17,AAPL,1,2015-12-26,1
18,AAPL,1,2015-09-26,1
19,AAPL,1,2015-06-27,1
20,AAPL,1,2015-03-28,1
21,AAPL,1,2014-12-27,1
22,AAPL,1,2014-09-27,1
23,AAPL,1,2014-06-28,1
24,AAPL,1,2014-03-29,1
25,AAPL,1,2013-12-28,1
26,AAPL,1,2013-09-28,1
27,AAPL,1,2013-06-29,1
28,AAPL,1,2013-03-30,1
29,AAPL,1,2012-12-29,1
30,AAPL,1,2012-09-29,1
31,AAPL,1,2012-06-30,1
32,AAPL,1,2012-03-31,1
33,AAPL,1,2011-12-31,1
34,AAPL,1,2011-09-24,1
35,AAPL,1,2011-06-25,1
36,AAPL,1,2011-03-26,1
37,AAPL,1,2010-12-25,1
38,AAPL,1,2010-09-25,1
39,AAPL,1,2010-06-26,1
40,AAPL,1,2010-03-27,1
41,AAPL,1,2009-12-26,
42,AAPL,1,2009-09-26,
43,AAPL,1,2009-06-27,
44,ADBE,1,2020-02-28,1
45,ADBE,1,2019-11-29,1
46,ADBE,1,2019-08-30,1
47,ADBE,1,2019-05-31,1
48,ADBE,1,2019-03-01,1
49,ADBE,1,2018-11-30,1
50,ADBE,1,2018-08-31,1
51,ADBE,1,2018-06-01,1
52,ADBE,1,2018-03-02,1
53,ADBE,1,2017-12-01,1
54,ADBE,1,2017-09-01,1
55,ADBE,1,2017-06-02,1
56,ADBE,1,2017-03-03,1
57,ADBE,1,2016-12-02,1
58,ADBE,1,2016-09-02,1
59,ADBE,1,2016-06-03,1
60,ADBE,1,2016-03-04,1
61,ADBE,1,2015-11-27,1
62,ADBE,1,2015-08-28,1
63,ADBE,1,2015-05-29,1
64,ADBE,1,2015-02-27,1
65,ADBE,1,2014-11-28,1
66,ADBE,1,2014-08-29,1
67,ADBE,1,2014-05-30,1
68,ADBE,1,2014-02-28,1
69,ADBE,1,2013-11-29,1
70,ADBE,1,2013-08-30,1
71,ADBE,1,2013-05-31,1
72,ADBE,1,2013-03-01,1
73,ADBE,1,2012-11-30,1
74,ADBE,1,2012-08-31,1
75,ADBE,1,2012-06-01,1
76,ADBE,1,2012-03-02,1
77,ADBE,1,2011-12-02,
78,ADBE,1,2011-09-02,
79,ADBE,1,2011-06-03,
80,ADBE,1,2011-03-04,
81,ADBE,1,2010-12-03,
82,ADBE,1,2010-09-03,
83,ADBE,1,2010-06-04,
84,ADBE,1,2010-03-05,
85,ADBE,1,2009-11-27,
86,ADBE,1,2009-08-28,
87,ADI,1,2019-11-02,1
88,ADI,1,2019-08-03,1
89,ADI,1,2019-05-04,1
90,ADI,1,2019-02-02,1
91,ADI,1,2018-11-03,1
92,ADI,1,2018-08-04,1
93,ADI,1,2018-05-05,1
94,ADI,1,2018-02-03,1
95,ADI,1,2017-10-28,1
96,ADI,1,2017-07-29,1
97,ADI,1,2017-04-29,1
98,ADI,1,2017-01-28,1
99,ADI,1,2016-10-29,1
100,ADI,1,2016-07-30,1
101,ADI,1,2016-04-30,1
102,ADI,1,2016-01-30,1
103,ADI,1,2015-10-31,1
104,ADI,1,2015-08-01,1
105,ADI,1,2015-05-02,1
106,ADI,1,2015-01-31,1
107,ADI,1,2014-11-01,1
108,ADI,1,2014-08-02,1
109,ADI,1,2014-05-03,1
110,ADI,1,2014-02-01,1
111,ADI,1,2013-11-02,1
112,ADI,1,2013-08-03,1
113,ADI,1,2013-05-04,1
114,ADI,1,2013-02-02,
115,ADI,1,2012-11-03,
116,ADI,1,2012-08-04,
117,ADI,1,2012-05-05,
118,ADI,1,2012-02-04,
119,ADI,1,2011-10-29,
120,ADI,1,2011-07-30,
121,ADI,1,2011-04-30,
122,ADI,1,2011-01-29,
123,ADI,1,2010-10-30,
124,ADI,1,2010-07-31,
125,ADI,1,2010-05-01,
126,ADI,1,2010-01-30,
127,ADI,1,2009-10-31,
128,ADI,1,2009-08-01,
129,ADP,1,2020-03-31,1
130,ADP,1,2019-12-31,1
131,ADP,1,2019-09-30,1
132,ADP,1,2019-06-30,1
133,ADP,1,2019-03-31,1
134,ADP,1,2018-12-31,1
135,ADP,1,2018-09-30,1
136,ADP,1,2018-06-30,1
137,ADP,1,2018-03-31,1
138,ADP,1,2017-12-31,1
139,ADP,1,2017-09-30,1
140,ADP,1,2017-06-30,1
141,ADP,1,2017-03-31,1
142,ADP,1,2016-12-31,1
143,ADP,1,2016-09-30,1
144,ADP,1,2016-06-30,1
145,ADP,1,2016-03-31,1
146,ADP,1,2015-12-31,1
147,ADP,1,2015-09-30,1
148,ADP,1,2015-06-30,1
149,ADP,1,2015-03-31,1
150,ADP,1,2014-12-31,1
151,ADP,1,2014-09-30,1
152,ADP,1,2014-06-30,1
153,ADP,1,2014-03-31,1
154,ADP,1,2013-12-31,1
155,ADP,1,2013-09-30,1
156,ADP,1,2013-06-30,1
157,ADP,1,2013-03-31,1
158,ADP,1,2012-12-31,1
159,ADP,1,2012-09-30,1
160,ADP,1,2012-06-30,1
161,ADP,1,2012-03-31,1
162,ADP,1,2011-12-31,1
163,ADP,1,2011-09-30,1
164,ADP,1,2011-06-30,1
165,ADP,1,2011-03-31,1
166,ADP,1,2010-12-31,1
167,ADP,1,2010-09-30,1
168,ADP,1,2010-06-30,1
169,ADP,1,2010-03-31,1
170,ADP,1,2009-12-31,
171,ADP,1,2009-09-30,
172,ADP,1,2009-06-30,
173,ADSK,1,2020-01-31,1
174,ADSK,1,2019-10-31,1
175,ADSK,1,2019-07-31,1
176,ADSK,1,2019-04-30,0
177,ADSK,1,2019-01-31,0
178,ADSK,1,2018-10-31,0
179,ADSK,1,2018-07-31,0
180,ADSK,1,2018-04-30,0
181,ADSK,1,2018-01-31,0
182,ADSK,1,2017-10-31,0
183,ADSK,1,2017-07-31,0
184,ADSK,1,2017-04-30,0
185,ADSK,1,2017-01-31,0
186,ADSK,1,2016-10-31,0
187,ADSK,1,2016-07-31,0
188,ADSK,1,2016-04-30,0
189,ADSK,1,2016-01-31,0
190,ADSK,1,2015-10-31,0
191,ADSK,1,2015-07-31,0
192,ADSK,1,2015-04-30,1
193,ADSK,1,2015-01-31,1
194,ADSK,1,2014-10-31,1
195,ADSK,1,2014-07-31,1
196,ADSK,1,2014-04-30,1
