,ticker,date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
0,MSFT,2019-06-30,11356000000.0,1.22463e+11,11356000000.0,29524000000.0,2063000000.0,1.75552e+11,36477000000.0,49776000000.0,0.0,0.0,1.11004e+11,2.86556e+11,9382000000.0,5516000000.0,69420000000.0,66662000000.0,72178000000.0,32676000000.0,5665000000.0,0.0,79006000000.0,1.84226e+11,70877000000,24150000000.0,1.0233e+11,1.22463e+11,60822000000.0,0.0,35800000000.0
1,MSFT,2018-06-30,11946000000.0,1.21822e+11,1.33768e+11,26481000000.0,2662000000.0,1.69662e+11,29460000000.0,43736000000.0,0.0,0.0,89186000000.0,2.58848e+11,8617000000.0,3998000000.0,58488000000.0,72242000000.0,76240000000.0,28905000000.0,2121000000.0,0.0,81809000000.0,1.7613e+11,63546000000,13682000000.0,82718000000.0,1.21822e+11,64294000000.0,0.0,35833000000.0
2,MSFT,2017-06-30,7663000000.0,1.25318e+11,1.32981e+11,19792000000.0,2181000000.0,1.59851e+11,23734000000.0,45228000000.0,0.0,0.0,81235000000.0,2.41086e+11,7390000000.0,1049000000.0,64527000000.0,76073000000.0,77122000000.0,34102000000.0,718000000.0,0.0,1.04165e+11,1.68692e+11,61607000000,2648000000.0,72394000000.0,1.25318e+11,69459000000.0,0.0,0.0
3,MSFT,2016-06-30,6510000000.0,1.0673e+11,1.1324e+11,18277000000.0,2251000000.0,1.3966e+11,18356000000.0,21605000000.0,0.0,0.0,54034000000.0,1.93694e+11,6898000000.0,0.0,59357000000.0,40783000000.0,40783000000.0,27468000000.0,580000000.0,0.0,62340000000.0,1.21697e+11,60370000000,2282000000.0,71997000000.0,1.0673e+11,34273000000.0,0.0,0.0
4,MSFT,2015-06-30,5595000000.0,90931000000.0,96526000000.0,17908000000.0,2902000000.0,1.24712e+11,14731000000.0,21774000000.0,0.0,1915000000.0,51511000000.0,1.76223e+11,6591000000.0,2499000000.0,49858000000.0,27808000000.0,30307000000.0,23223000000.0,606000000.0,0.0,46282000000.0,96140000000.0,60438000000,9096000000.0,80083000000.0,90931000000.0,24712000000.0,0.0,0.0
5,MSFT,2014-06-30,8669000000.0,77040000000.0,85709000000.0,19544000000.0,2660000000.0,1.14246e+11,13011000000.0,27108000000.0,0.0,1941000000.0,58138000000.0,1.72384e+11,7432000000.0,0.0,45625000000.0,20645000000.0,20645000000.0,23150000000.0,782000000.0,0.0,36975000000.0,82600000000.0,60127000000,17710000000.0,89784000000.0,77040000000.0,11976000000.0,0.0,0.0
6,MSFT,2013-06-30,3804000000.0,73218000000.0,77022000000.0,17486000000.0,1938000000.0,1.01466e+11,9991000000.0,17738000000.0,0.0,1632000000.0,40965000000.0,1.42431e+11,4828000000.0,2999000000.0,37417000000.0,12601000000.0,15600000000.0,20639000000.0,592000000.0,0.0,26070000000.0,63487000000.0,58978000000,9895000000.0,78944000000.0,73218000000.0,11796000000.0,0.0,0.0
7,MSFT,2012-06-30,6938000000.0,56102000000.0,63040000000.0,15780000000.0,1137000000.0,85084000000.0,8269000000.0,16622000000.0,0.0,2035000000.0,36187000000.0,1.21271e+11,4175000000.0,1231000000.0,32688000000.0,10713000000.0,11944000000.0,18653000000.0,789000000.0,0.0,22220000000.0,54908000000.0,55138000000,1422000000.0,66363000000.0,56102000000.0,5006000000.0,0.0,0.0
8,MSFT,2011-06-30,9610000000.0,43162000000.0,52772000000.0,14987000000.0,1372000000.0,74918000000.0,8162000000.0,13325000000.0,10865000000.0,2467000000.0,33786000000.0,1.08704e+11,4197000000.0,0.0,28774000000.0,11921000000.0,11921000000.0,15722000000.0,580000000.0,0.0,22847000000.0,51621000000.0,44981000000,1863000000.0,57083000000.0,54027000000.0,2311000000.0,0.0,0.0
9,MSFT,2010-06-30,5505000000.0,31283000000.0,36788000000.0,13014000000.0,740000000.0,55676000000.0,7630000000.0,13552000000.0,7754000000.0,0.0,30437000000.0,86113000000.0,4025000000.0,1000000000.0,26147000000.0,4939000000.0,5939000000.0,13652000000.0,1074000000.0,0.0,13791000000.0,39938000000.0,53133000000,-16681000000.0,46175000000.0,39037000000.0,434000000.0,0.0,0.0
