,ticker,date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
0,MSFT,2020-03-31,11710000000.0,1.25916e+11,1.37626e+11,22699000000.0,1644000000.0,1.70505e+11,41221000000.0,48919000000.0,2660000000.0,0.0,1.14944e+11,2.85449e+11,9246000000.0,3748000000.0,58707000000.0,62862000000.0,66610000000.0,27012000000.0,3296000000.0,0.0,76105000000.0,1.70948e+11,72223000000,32012000000.0,1.14501e+11,1.28576e+11,54900000000.0,0.0,36136000000.0
1,MSFT,2019-12-31,8864000000.0,1.25389e+11,1.34253e+11,23525000000.0,1823000000.0,1.67074e+11,40522000000.0,49374000000.0,2755000000.0,0.0,1.1572e+11,2.82794e+11,8811000000.0,6247000000.0,59640000000.0,63361000000.0,69608000000.0,27343000000.0,2687000000.0,0.0,77119000000.0,1.72685e+11,72014000000,30739000000.0,1.10109e+11,1.28144e+11,60744000000.0,0.0,35926000000.0
2,MSFT,2019-09-30,13117000000.0,1.23519e+11,1.36636e+11,19087000000.0,2622000000.0,1.65896e+11,38409000000.0,49621000000.0,2684000000.0,0.0,1.13059e+11,2.78955e+11,8574000000.0,3017000000.0,58118000000.0,66478000000.0,69495000000.0,29904000000.0,3440000000.0,0.0,79660000000.0,1.72894e+11,71248000000,27240000000.0,1.06061e+11,1.26203e+11,56378000000.0,0.0,35116000000.0
3,MSFT,2019-06-30,11356000000.0,1.22463e+11,11356000000.0,29524000000.0,2063000000.0,1.75552e+11,36477000000.0,49776000000.0,0.0,0.0,1.11004e+11,2.86556e+11,9382000000.0,5516000000.0,69420000000.0,66662000000.0,72178000000.0,32676000000.0,5665000000.0,0.0,79006000000.0,1.84226e+11,70877000000,24150000000.0,1.0233e+11,1.22463e+11,60822000000.0,0.0,35800000000.0
4,MSFT,2019-03-31,11212000000.0,1.20406e+11,11212000000.0,19269000000.0,1951000000.0,1.59887e+11,33648000000.0,49964000000.0,0.0,0.0,1.03394e+11,2.63281e+11,7544000000.0,6515000000.0,53861000000.0,66585000000.0,73100000000.0,24251000000.0,1950000000.0,0.0,79070000000.0,1.68417e+11,70125000000,18338000000.0,94864000000.0,1.20406e+11,61888000000.0,0.0,35486000000.0
5,MSFT,2018-12-31,6638000000.0,1.21024e+11,6638000000.0,19680000000.0,1961000000.0,1.56874e+11,32717000000.0,50059000000.0,0.0,0.0,1.01985e+11,2.58859e+11,7563000000.0,3516000000.0,50318000000.0,69653000000.0,73169000000.0,24285000000.0,2033000000.0,0.0,81569000000.0,1.66731e+11,69873000000,16585000000.0,92128000000.0,1.21024e+11,66531000000.0,0.0,34844000000.0
6,MSFT,2018-09-30,15137000000.0,1.20743e+11,15137000000.0,17390000000.0,3614000000.0,1.64195e+11,31430000000.0,43434000000.0,0.0,0.0,93424000000.0,2.57619e+11,8511000000.0,6497000000.0,56277000000.0,69733000000.0,76230000000.0,26704000000.0,2341000000.0,0.0,80787000000.0,1.71652e+11,63623000000,17279000000.0,85967000000.0,1.20743e+11,61093000000.0,0.0,34588000000.0
7,MSFT,2018-06-30,11946000000.0,1.21822e+11,1.33768e+11,26481000000.0,2662000000.0,1.69662e+11,29460000000.0,43736000000.0,0.0,0.0,89186000000.0,2.58848e+11,8617000000.0,3998000000.0,58488000000.0,72242000000.0,76240000000.0,28905000000.0,2121000000.0,0.0,81809000000.0,1.7613e+11,63546000000,13682000000.0,82718000000.0,1.21822e+11,64294000000.0,0.0,35833000000.0
8,MSFT,2018-03-31,9221000000.0,1.23049e+11,1.3227e+11,17208000000.0,2084000000.0,1.56659e+11,27929000000.0,44126000000.0,0.0,0.0,88838000000.0,2.45497e+11,7623000000.0,3447000000.0,46133000000.0,73480000000.0,76927000000.0,21370000000.0,814000000.0,0.0,83705000000.0,1.66258e+11,62728000000,9974000000.0,79239000000.0,1.23049e+11,67706000000.0,0.0,36420000000.0
9,MSFT,2017-12-31,12859000000.0,1.29921e+11,1.4278e+11,18428000000.0,2003000000.0,1.67633e+11,26304000000.0,44389000000.0,0.0,0.0,88370000000.0,2.56003e+11,7850000000.0,3446000000.0,58099000000.0,73348000000.0,76794000000.0,21309000000.0,788000000.0,0.0,83854000000.0,1.77643e+11,62487000000,8567000000.0,78360000000.0,1.29921e+11,63935000000.0,0.0,35690000000.0
