,ticker,date,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
0,MSFT,2019-06-30,11682000000.0,4652000000.0,52185000000.0,13925000000.0,-2388000000.0,500000000.0,-15888000000.0,-4000000000.0,-18401000000.0,-13811000000.0,-36887000000.0,-115000000.0,-590000000.0,38260000000.0,0.0
1,MSFT,2018-06-30,10261000000.0,3940000000.0,43884000000.0,11632000000.0,-888000000.0,15639000000.0,-6011000000.0,-2736000000.0,-9719000000.0,-12699000000.0,-33590000000.0,50000000.0,4283000000.0,32252000000.0,0.0
2,MSFT,2017-06-30,8778000000.0,3266000000.0,39507000000.0,8129000000.0,-25944000000.0,16256000000.0,-46762000000.0,-2959000000.0,-11016000000.0,-11845000000.0,8408000000.0,19000000.0,1153000000.0,31378000000.0,0.0
3,MSFT,2016-06-30,6622000000.0,2668000000.0,33325000000.0,8343000000.0,-1393000000.0,6085000000.0,-24017000000.0,-9991000000.0,-15301000000.0,-11006000000.0,-8393000000.0,-67000000.0,915000000.0,24982000000.0,0.0
4,MSFT,2015-06-30,5957000000.0,2574000000.0,29080000000.0,5944000000.0,-3723000000.0,570000000.0,-23074000000.0,-5981000000.0,-13809000000.0,-9882000000.0,-9080000000.0,-73000000.0,-3074000000.0,23136000000.0,0.0
5,MSFT,2014-06-30,5212000000.0,2446000000.0,32231000000.0,5485000000.0,-5937000000.0,-2044000000.0,-18972000000.0,-4388000000.0,-6709000000.0,-8879000000.0,-8394000000.0,-139000000.0,4865000000.0,26746000000.0,0.0
6,MSFT,2013-06-30,3755000000.0,2406000000.0,28833000000.0,4257000000.0,-1584000000.0,-230000000.0,-23819000000.0,-1346000000.0,-4429000000.0,-7455000000.0,-8148000000.0,-8000000.0,-3134000000.0,24576000000.0,0.0
7,MSFT,2012-06-30,2967000000.0,2244000000.0,31626000000.0,2305000000.0,-10112000000.0,10546000000.0,-24890000000.0,-0.0,-3116000000.0,-6385000000.0,-9408000000.0,-104000000.0,-2672000000.0,29321000000.0,0.0
8,MSFT,2011-06-30,2766000000.0,2166000000.0,26994000000.0,2355000000.0,-71000000.0,-40651000000.0,-14616000000.0,186000000.0,-9133000000.0,-5180000000.0,-8376000000.0,103000000.0,4105000000.0,24639000000.0,0.0
9,MSFT,2010-06-30,2673000000.0,1891000000.0,24073000000.0,1977000000.0,-245000000.0,-33984000000.0,-11314000000.0,991000000.0,-8958000000.0,-4578000000.0,-13291000000.0,-39000000.0,-571000000.0,22096000000.0,0.0
10,MSFT,2009-06-30,2562000000.0,1656000000.0,19037000000.0,-3119000000.0,-868000000.0,-10853000000.0,-15770000000.0,5746000000.0,-8774000000.0,-4468000000.0,-7463000000.0,-67000000.0,-4263000000.0,15918000000.0,0.1215
0,AAPL,2019-09-28,12547000000.0,6068000000.0,69391000000.0,10495000000.0,-624000000.0,-8804000000.0,45896000000.0,-8805000000.0,-66116000000.0,-14119000000.0,-90976000000.0,0.0,24311000000.0,58896000000.0,0.0
1,AAPL,2018-09-29,10903000000.0,5340000000.0,77434000000.0,13313000000.0,-721000000.0,-18375000000.0,16066000000.0,-6500000000.0,-72069000000.0,-13712000000.0,-87876000000.0,0.0,5624000000.0,64121000000.0,0.0
2,AAPL,2017-09-30,10157000000.0,4840000000.0,63598000000.0,12795000000.0,-329000000.0,-1520000000.0,-46446000000.0,-3500000000.0,-32345000000.0,-12769000000.0,-17347000000.0,0.0,-195000000.0,50803000000.0,0.0
3,AAPL,2016-09-24,10505000000.0,4210000000.0,65824000000.0,13548000000.0,-297000000.0,-9852000000.0,-45977000000.0,-2500000000.0,-29227000000.0,-12150000000.0,-20483000000.0,0.0,-636000000.0,52276000000.0,0.0
4,AAPL,2015-09-26,11257000000.0,3586000000.0,81266000000.0,11488000000.0,-343000000.0,-20715000000.0,-56274000000.0,-0.0,-34710000000.0,-11561000000.0,-17716000000.0,0.0,7276000000.0,69778000000.0,0.0
5,AAPL,2014-09-27,7946000000.0,2863000000.0,59713000000.0,9813000000.0,-3765000000.0,-26190000000.0,-22579000000.0,-0.0,-44270000000.0,-11126000000.0,-37549000000.0,0.0,-415000000.0,49900000000.0,0.0
