,ticker,date,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
0,MSFT,2020-03-31,3118000000.0,1338000000.0,17504000000.0,3767000000.0,-329000000.0,-2912000000.0,51000000.0,-3000000000.0,-6717000000.0,-3876000000.0,-14645000000.0,-64000000.0,2846000000.0,13737000000.0,0.0
1,MSFT,2019-12-31,3203000000.0,1340000000.0,10680000000.0,3545000000.0,-80000000.0,-7617000000.0,-6036000000.0,-18000000.0,-4972000000.0,-3886000000.0,-8915000000.0,18000000.0,-4253000000.0,7135000000.0,0.0
2,MSFT,2019-09-30,2971000000.0,1262000000.0,13818000000.0,3385000000.0,-462000000.0,-2841000000.0,-1776000000.0,-2500000000.0,-4485000000.0,-3510000000.0,-10209000000.0,-72000000.0,1761000000.0,10433000000.0,0.0
3,MSFT,2019-06-30,2924000000.0,1190000000.0,16108000000.0,4051000000.0,-281000000.0,521000000.0,-7278000000.0,-1000000000.0,-4325000000.0,-3521000000.0,-8686000000.0,-21000000.0,144000000.0,12057000000.0,0.0
4,MSFT,2019-03-31,2926000000.0,1172000000.0,13520000000.0,2565000000.0,-269000000.0,1140000000.0,-1345000000.0,0.0,-4479000000.0,-3526000000.0,-7601000000.0,18000000.0,4574000000.0,10955000000.0,0.0
5,MSFT,2018-12-31,2995000000.0,1183000000.0,8900000000.0,3707000000.0,-1593000000.0,-2631000000.0,-4183000000.0,-3000000000.0,-6213000000.0,-3544000000.0,-13216000000.0,17000000.0,-8499000000.0,5193000000.0,0.0
6,MSFT,2018-09-30,2837000000.0,1107000000.0,13657000000.0,3602000000.0,-245000000.0,1470000000.0,-3082000000.0,-0.0,-3384000000.0,-3220000000.0,-7384000000.0,-129000000.0,3191000000.0,10055000000.0,0.0
7,MSFT,2018-06-30,2516000000.0,1012000000.0,11418000000.0,3980000000.0,-434000000.0,4746000000.0,-2654000000.0,-681000000.0,-2107000000.0,-3226000000.0,-6039000000.0,16000000.0,2725000000.0,7438000000.0,0.0
8,MSFT,2018-03-31,2710000000.0,969000000.0,12151000000.0,2934000000.0,-248000000.0,3893000000.0,3869000000.0,2490000000.0,-3530000000.0,-3232000000.0,-19658000000.0,25000000.0,-3638000000.0,9217000000.0,0.0
9,MSFT,2017-12-31,2536000000.0,986000000.0,7875000000.0,2586000000.0,-27000000.0,4344000000.0,-348000000.0,-7086000000.0,-1819000000.0,-3238000000.0,-1552000000.0,-17000000.0,5975000000.0,5289000000.0,0.0
